t_name,gene_name,male_10,male_11,male_12,male_13,male_14A,male_14B,male_14C,male_14D,female_10,female_11,female_12,female_13,female_14A,female_14B,female_14C,female_14D,median,stage_p,stage_logP,stage_cor_p,sex_p,sex_logP,sex_beta,stage_beta,sex_cor_p
FBtr0086675,GstE7,4.401380553449621,3.320985707302617,4.475839765019171,4.770118621278068,4.737397436355919,5.1754009647314,5.1634577936201005,4.575357777286036,4.054076923659257,3.89618105983569,4.1286548544497625,5.034626918156071,5.252238558618383,4.34559770558857,4.9488541845498135,4.797270719785247,4.658651394810291,0.0013714835345065557,2.862809401997381,0.0070741614266599875,0.0020622214173827355,2.6856647070519957,0.020304711800015918,0.25313526975384926,0.010332701028456952
FBtr0086686,CG5174,6.384782714201253,6.399868290608447,6.600851998625969,6.659535426255325,7.019949117113698,7.122140854751698,6.554029530114994,6.591714448774278,6.046793663513716,6.555624089633999,6.408412966689967,6.77772829036952,6.92122679536646,6.941984035595465,6.8417424855904185,6.347758301841226,6.596290457962682,0.002102428061571413,2.6772788554573155,0.009793516979077653,0.00282440472421928,2.549073070757258,0.06145021898060532,0.13340292749897442,0.01314240836828777
FBtr0306636,CG5174,2.6597143022381418,1.9476437167763978,3.041872709447561,3.203824466410527,3.4024311803554,2.8430723274617056,3.629714597196332,2.8524345771032547,2.6378849418498187,2.856273625228544,3.0363689924433865,3.10649941597328,4.00493135015814,3.214566718483645,3.3755609321741535,3.270253682799912,3.0745479082420313,0.003418960355652797,2.4661059350095034,0.014062801119024615,0.0029788676487500438,2.5259487920835184,-0.24020397276519556,0.20813866090265382,0.0135751254278752
FBtr0113360,CG30118,6.712309441444268,6.153023009031722,6.008767679990914,4.314602131164089,1.625644559524164,-3.321928094887362,3.8950285026263405,-3.321928094887362,6.646158451211748,6.749089417283746,6.328359680849122,3.4972858542574237,-3.321928094887362,-3.321928094887362,3.6493921976640618,3.554596709739864,3.777431867244214,0.0010370788351207717,2.984188228802295,0.005718540337320875,0.0015841683188506882,2.800198676241185,-0.21443837340309368,-1.923376285360701,0.00840692651279173
FBtr0086694,CG5189,4.714622327877849,3.8962658416026232,4.348398438613037,4.315491238948133,4.708017071861402,5.8998501647666854,6.145869536845264,4.931703099603984,3.7009950488375334,3.829910431768958,3.8029301992980953,5.308074751534912,4.724096386602864,5.805615606830952,5.904120945848144,5.697351350249813,4.7193671341461565,0.0009472747750613966,3.02352402734962,0.005329116680342135,0.0014629377093513295,2.834774165372242,0.02339037489346374,0.4114119702308924,0.007954723794597855
FBtr0086723,Prp19,6.558207944069203,6.924592365982937,6.952620678846357,7.001205026105964,7.352481355796434,7.583291651612694,7.604051910629034,7.662192287708736,6.655283642485615,6.891574044653228,6.821938232616955,6.955954314575136,7.3419828927810915,7.600229241080871,7.776808058087015,7.572934206396179,7.1816325135982755,1.480117605260238e-06,5.829703775627764,6.342414395077825e-05,3.5962962014861968e-06,5.444144545700402,0.0027423235094037324,0.23601263071568063,0.00014516092137133047
FBtr0086701,Pepck,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,3.1187585550664707,5.061613345272722,5.905703418479398,5.622904002758783,-3.321928094887362,-3.321928094887362,-3.321928094887362,3.234128949278881,4.751052910221176,4.291579174038832,6.20962725838866,5.39783629129177,3.1775966970392497,9.777333334226743e-06,5.009779578356405,0.00020194765469471208,1.563957012301605e-05,4.805775188345722,-0.9371466695661255,2.437346825837498,0.00034539389094753145
FBtr0344533,CG45087,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,3.1187585550664707,3.7990038719439405,5.905703418479398,5.622904002758783,-3.321928094887362,-3.321928094887362,-3.321928094887362,3.234128949278881,4.751052910221176,4.291579174038832,6.20962725838866,5.39783629129177,3.1775966970392497,1.1522562072349909e-05,4.938450943641157,0.00022206886295646563,1.632841330471878e-05,4.787056015293028,-1.0949728537322239,2.3922536303614703,0.0003539559546482139
FBtr0086714,mRpS28,4.900714055311395,5.044012235532776,5.228435074976794,5.351109802732985,5.760144231380619,5.7050069342124585,5.481694795152341,5.459985539969138,5.205278175189825,5.4417174802414765,5.0639343920138895,5.7721339626035695,5.602328062372326,5.7059255546714045,5.332664938539791,5.376005504913208,5.409235591950855,0.0014315861653914643,2.844182507210769,0.0073160080072512375,0.001854751604994118,2.7317142444336655,-0.07111067515962699,0.1271349330320552,0.009525924611696088
FBtr0086708,CG5335,4.8382691734402945,3.8306308587897457,4.1782239139508714,4.396561148629309,-3.321928094887362,-3.321928094887362,-3.321928094887362,0.14793574600456869,4.889377310978418,4.2859444962853965,4.592257826947931,3.8924452352540433,1.514186406585386,0.4661154631019116,-3.321928094887362,-3.321928094887362,3.0945806537359104,0.00027270444150197915,3.564307788702694,0.002087770388835661,0.000408002413855567,3.3893372674957774,-0.6963292491532397,-1.8160685139047827,0.0031125994601753754
FBtr0086709,Sec6,4.363133712376069,3.551247879065958,3.2793687729926706,-3.321928094887362,-3.321928094887362,-0.06736881965155128,3.145195661327173,3.2804523215223553,4.245449494014452,3.836006713662236,3.527311598825246,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,3.5799387154848104,3.2138414465240537,0.013188549415208976,1.879802969094593,0.040209903048918555,0.015103453784900727,1.8209237289843658,1.1258973994275594,-1.3586897659211061,0.04600167608805952
FBtr0300923,CG30122,5.410556095205719,6.150816430699052,6.046375523843536,6.469994646310538,6.1010426137791205,5.996388181482347,6.452032834722135,6.449472383665375,5.714022253638808,6.114508892706749,6.247583237739066,5.80683429860732,6.202893865577328,6.579041750436209,6.780560212751751,6.533773772614227,6.177090117407101,0.0027510067408486162,2.560508345448277,0.012082825629234642,0.0032979967775233258,2.481749773040961,-0.11281744679545969,0.1617381545298721,0.014634542114790523
FBtr0086640,CG15093,-3.321928094887362,2.569172186112424,-0.2514820908040618,-1.401661476205211,-2.4981216799712,-1.3040382471361238,-2.7629845855043382,-1.8771497296353135,2.9704666142050384,2.352359384457512,0.1590142626327063,-0.37207571051167676,-1.8538453117592728,-0.9146406132369,-3.321928094887362,-3.321928094887362,-1.352024282035518,0.008260850952032939,2.0829752136073183,0.027836740708082827,0.008971930578737313,2.0471140954756004,-0.8182020192554981,-0.8668154299555448,0.03100932507009008
FBtr0086629,CG15098,7.853758764092657,6.918990153086254,7.91425432984908,8.078103530337323,8.693099674324813,8.527539861623842,8.18106454927623,7.774372314100435,7.421076774908494,7.2687156886898805,7.839764175720213,8.165484050100865,8.697339516297983,8.373832516380148,8.544655064173881,7.789074850429544,7.998503758259795,0.0011547070416901965,2.937528185742107,0.006188856098368179,0.0017565303563043344,2.755344340343038,-0.019844932501301926,0.24678065696656515,0.009113852987258574
FBtr0089970,Jheh2,4.962217414813362,1.9321076725567947,3.9920115423344424,3.384330303561253,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,4.800960608285426,4.2200446383679475,3.682547566809376,2.738875683679284,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,0.9694260787064825,5.114405485985756e-06,5.291204842726377,0.00013471062523178994,1.127655857930259e-05,4.947823419684039,-0.14647019548455842,-2.1445544254731805,0.0002833105778884602
FBtr0345981,Jheh2,4.714364280929415,1.6904792273039784,3.56331081365107,2.1553927238120933,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,4.553210450332442,3.735170125420377,3.43593643392833,2.494212569106425,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,0.7344989307268962,1.7640864831647434e-06,5.75348012768461,7.100035924999036e-05,4.055286417874786e-06,5.39197846690049,-0.2618728166364117,-2.065343769701893,0.00015386864280685254
FBtr0086601,prod,6.143569152769542,6.60043054295079,6.409836354626989,6.379263102830622,6.84402934197411,7.197715174861532,6.725700672146516,6.815504880579753,6.064361918430527,6.517493655994532,6.16597488970103,6.585661978108705,6.641174094133227,7.171467529589667,7.051717865496815,6.77338344503218,6.620946145005015,0.00023895676767789886,3.6216806649818767,0.0018968982857232655,0.0004032233300235553,3.3944543480720264,0.018101730781641345,0.18020175136575883,0.0030898243251716024
FBtr0086600,CG15107,3.754420100130614,3.868051495972021,4.324831624572323,1.4879817405065907,2.1239075082319556,-0.008365871836514634,2.681642211468197,2.982976969349897,3.8166927773292305,3.4298486511420188,4.022610431737228,4.258614573578509,0.6970896669263819,0.47636405884088123,1.3249885536300217,2.902268498850428,2.943187043239944,0.004950561115308068,2.305345573698522,0.018800345187896115,0.006834617124880012,2.1652858095832546,0.03587107079503449,-0.6268493897099563,0.025178168219243603
FBtr0331978,CG15107,5.492133432827473,3.4177639593777505,4.966145674897994,5.344798854705737,4.394751667710145,3.8718446339564134,2.452212439790095,2.385746324794292,5.362112046185516,5.449700982442342,5.609922614913507,5.3355710063211435,4.279674462128154,3.639124593934706,3.6635348785969635,3.1544326909493647,4.338360158867625,0.00982713372967458,2.0075731339383527,0.031960572600178344,0.009721001826924355,2.012288975250201,-0.521084535926488,-0.4522155815070747,0.03292449419398327
FBtr0086579,botv,4.41018708408365,4.1554981313827115,4.522605069255188,4.8803725156119455,4.820132591153248,4.550513596242464,5.50935488736269,5.380633390293159,4.071012986927744,4.172196418899592,4.605816984037986,4.331074795293871,5.10072078142384,4.10797478981242,5.336567220904596,5.334256549500645,4.578430269690012,0.004017054605625809,2.396092264668432,0.015907536238278203,0.00490115073961679,2.3097019401364136,0.1462095923230431,0.22099919679564403,0.019507214103659614
FBtr0086515,FK506-bp2,9.203528792298828,9.79500123481724,9.426571431101719,9.475552288422,10.195331983642955,10.60056825038467,10.268957295171719,10.406383596183272,9.338575005601664,9.64064602742302,9.250183232231716,9.756812565770016,9.925582363355256,10.587602334017054,10.326596973844723,10.10125457645075,9.861768688978943,0.00014823145274621148,3.829059635055688,0.0013175619220878426,0.0002488695589877521,3.6040282218010025,0.05558022416601771,0.2517915365489748,0.0021783673897982814
FBtr0086560,mip40,5.911853720180363,5.993515502590274,6.205297082219467,6.143403337595683,6.404807280942652,6.628722773420163,6.578959085735161,6.4230421868621015,5.695616085918935,5.930418868873696,6.078071327862597,6.389289740905735,6.568861081687499,6.591344312815098,6.53964318057758,6.464760507022228,6.397069374038127,1.568589489068031e-08,7.804490699471949,3.555331912984987e-06,5.2461266756763535e-08,7.280161226920843,0.003949482985307173,0.18238272447305412,1.0269292967636461e-05
FBtr0086516,Tab2,6.05389343885,6.663715991522968,6.367082375436602,5.888168296464257,4.167964891381602,-3.321928094887362,1.6652986198381652,1.3451703865682756,6.156559044138853,6.42132344268984,6.284955543125688,5.819938101608872,3.211196335679098,-3.321928094887362,-3.321928094887362,1.391220007669906,5.218512458243185,0.0021488395059985504,2.6677960201819424,0.009955865876904526,0.002900893337371244,2.537468239429913,0.77350370250459,-1.7363066494829003,0.013361173430362848
FBtr0086559,EndoB,4.7023728545080425,5.061323448587967,4.791927607314763,4.605097395884362,4.199261893693853,4.000710262273659,2.9051727661985227,2.801776585059266,4.7577598786266435,5.01340196014688,4.783243429859914,4.813950303635648,4.070207433800535,4.244945724485411,3.5161406207050128,2.5480501279502654,4.436230946803615,0.0026203801087230686,2.5816357059522783,0.01166290402508298,0.003709860920174457,2.430642371445053,-0.08500708321124567,-0.3747119733342633,0.016024589822197895
