t_name,gene_name,male_10,male_11,male_12,male_13,male_14A,male_14B,male_14C,male_14D,female_10,female_11,female_12,female_13,female_14A,female_14B,female_14C,female_14D,median,stage_p,stage_logP,stage_cor_p
FBtr0079875,Srp54,6.5931733032859,7.181183143380709,6.940495983384944,6.983770481992572,7.08644525516373,7.526911405665556,7.435095226649308,7.689913817576399,6.708956849800303,7.0907652701160035,5.660263135403608,7.056796221337795,7.000173022860709,7.6603097202561194,7.763156796252325,7.606208148751211,7.088606879624199,0.014812598202577352,1.8293687574089548,0.043842236535669675
FBtr0079876,yip2,6.357666923016724,4.597928173584589,7.124042349262309,3.9377764767568904,3.1696726680438085,5.601740456214734,2.7548184648823106,4.9966755846422855,7.7689723239856106,5.722776307154847,6.584898539823199,6.300097964543065,3.80047782077182,5.898859885522005,5.498942110309309,4.723749124423189,5.551256693728967,0.01620934050948637,1.7902346544246088,0.047007087477510465
FBtr0079900,CG5885,6.588842621312416,5.996378170260999,5.527239367970018,4.444312510917173,2.8788477348885775,2.9450216297445975,5.801597685009552,5.285812588735575,6.759347984999515,6.353348118149892,5.734373331492067,4.402779673426771,2.5378233434854307,2.436127717520467,5.233146165024035,5.37793973797039,5.332611416619845,0.001856557753294987,2.7312915363127486,0.008928270200519109
FBtr0343747,CG13126,3.8728226539183797,3.1776464443633747,3.6955110528954083,3.0209675863825294,2.058405860246916,1.6652517693652549,1.6713133028248512,1.57294640522754,3.7284058806002305,3.4315206704795225,3.6704277222867057,3.0335294266568034,2.050716213819879,1.7980613012321698,1.3438756628939326,1.9263380324932138,2.618517768937571,2.7623731219157394e-06,5.558717660353819,9.365892220313924e-05
FBtr0079892,CG13126,4.1555774653347255,3.459308066189793,3.978035056843662,3.3023013553410756,2.3367118475144326,1.9416059078713281,1.9477020601014086,1.8487597302254266,4.01097501896695,3.713643692144995,3.9529166775540454,3.3148909501478583,2.328988651339969,2.0751355358949364,1.6181850822116233,2.204046788264232,2.8988254540218543,2.7837784841522866e-06,5.555365326151216,9.365892220313924e-05
FBtr0343738,CG4658,2.687743342718992,3.909614043764614,0.6305005296517402,2.1107804887399664,-0.15782568240561018,-3.321928094887362,-1.0255499828577996,0.565325182705141,3.2729989930175085,2.098140249441723,2.8078039425306995,2.6380963175548025,-0.4613466240173453,-3.321928094887362,1.9294441033507648,0.6401970336127961,1.4242841523982699,0.002718033029555264,2.5657452700220555,0.011962400860275672
FBtr0079885,CG4658,2.7841115332563238,4.00682176986348,0.7222141866301941,2.206425990763323,-0.07057862189872119,-3.321928094887362,-0.9471028240484513,0.6567544537337567,3.369857012378286,2.1937660672083035,2.9042890920841886,2.7344130854423376,-0.37659382555499227,-3.321928094887362,2.0247955340291965,0.7319521842735659,1.5185922917374135,0.00286650819608059,2.542646812128453,0.01245522867592699
FBtr0079887,CG4658,3.3849822823468867,2.8472968292547116,4.2884153385834285,1.232396750138895,-3.321928094887362,-3.321928094887362,-0.9010522963856249,1.0969229930051954,3.56798454127552,4.52397118432213,3.5359010361574876,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,0.7926146749335297,0.9527774902587246,0.0002533742634065303,3.596237500850269,0.001973157803544707
FBtr0079889,Dref,5.162180543922545,4.76464870200965,5.373762933390479,5.415936491519153,5.589073728272422,5.279256101110525,5.630607025804745,5.513653071230436,4.950613282946918,4.820748829297262,5.300177769695798,5.3721314013475565,5.543629598726814,5.382883018418172,5.845467494544708,5.827163617902598,5.378330182539309,0.00014487114078135026,3.839018120033958,0.001295665767851273
FBtr0310483,Dref,5.230400363439689,4.832809575346173,5.442008293247699,5.484186316927038,5.657341289540928,5.631288799295866,5.801860712399695,5.581913270486858,5.018803686188082,4.888919040013907,5.368414580078975,5.440376532893156,5.611892750779676,5.451129263359954,5.978646881895497,5.895452457986628,5.467752469273092,3.797040325138528e-05,4.420554790563087,0.0005166494205437305
